IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo point
106913.0;Cèdre;Cedrus;libani;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;P00709013;308.0;20.0;Mature;Inconnue;''Glauca'';1700-01-01T01:02:49+00:53;OUI;48.854379449969116,2.298629731628205
125063.0;Orme;Ulmus;glabra;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;Arbre;Jardin;PARIS 4E ARRDT;;;000302002;167.0;10.0;Adulte;Inconnue;''Pendula'';1700-01-01T01:02:49+00:53;OUI;48.852102030885966,2.3508038713728716
162943.0;Platane;Platanus;x hispanica;CIMETIERE DU PERE LACHAISE / DIV 45;Arbre;CIMETIERE;PARIS 20E ARRDT;20-14;;D00000045009;375.0;26.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8612558559957,2.39505026070172
114166.0;Platane;Platanus;x hispanica;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 08 - 34 à 44;;000210026;445.0;21.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.87313400143684,2.2867955315430515
2002399.0;Catalpa;Catalpa;bignonioides;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE DU MOULIN ROUGE;Arbre;Jardin;BOIS DE VINCENNES;12-38;;12-38;289.0;10.0;Mature;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.82007112336596,2.4351662646921874
216766.0;Paulownia;Paulownia;tomentosa;RUE DE FURSTEMBERG;Arbre;Alignement;PARIS 6E ARRDT;;;000101001;295.0;15.0;Mature;GUILLOT BOURNE;;1999-01-25T02:00:00+01:00;OUI;48.854273288210244,2.3357352546771133
114452.0;Micocoulier;Celtis;koraiensis;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00060082;173.0;9.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.846039808503576,2.2540662827478433
2002387.0;Sequoia;Sequoiadendron;giganteum;ROUTE DE LA PORTE SAINT-JAMES;Arbre;Jardin;BOIS DE BOULOGNE;16-12;;001001001;335.0;28.0;Mature;Inconnue;;1850-01-01T01:02:49+00:53;OUI;48.87647407978168,2.2574997550678364
2013640.0;Amandier;Prunus;dulcis;LES PLATEAUX SAUVAGES / 7 RUE DES PLATRIERES;Arbre;DAC;PARIS 20E ARRDT;;;000101001;240.0;9.0;Mature;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.86780690264865,2.388834148972542
2009036.0;Saule;Salix;babylonica;ETANG DE SURESNES / ROUTE DE SURESNES - ROUTE DES MOULINS;Arbre;Jardin;BOIS DE BOULOGNE;16-61;;000201001;285.0;10.0;Mature;Inconnue;;1901-01-01T01:09:21+01:00;OUI;48.86481041381718,2.2337060200219145
2002346.0;Platane;Platanus;x hispanica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-19;;000701005;500.0;40.0;Mature;Inconnue;;1847-01-01T01:02:49+00:53;OUI;48.86922434377151,2.2460170409919717
112897.0;Platane;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;;0417B1018;375.0;20.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.82413393656339,2.3379656973736673
305507.0;Erable;Acer;pseudoplatanus;PARC MONCEAU;Arbre;Jardin;PARIS 8E ARRDT;08-01;;00NO0144;427.0;28.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.878702987226085,2.3064741737057197
2009236.0;Catalpa;Catalpa;bignonioides;TIR AU PIGEON / 32 ROUTE DE L ETOILE;Arbre;Jardin;BOIS DE BOULOGNE;16-62;;001301001;397.0;14.0;Mature;Inconnue;;1910-01-01T01:09:21+01:00;OUI;48.87408216456365,2.2591649740619064
235972.0;Tilleul;Tilia;tomentosa;PLACE DE LA BATAILLE DE STALINGRAD;Arbre;Alignement;PARIS 19E ARRDT;19-05;;000103001;215.0;23.0;Mature;Inconnue;;1945-01-01T02:00:00+01:00;OUI;48.883029324261045,2.37006279721253
111642.0;Erable;Acer;saccharinum;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15-04;;000102015;240.0;20.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84278366541723,2.2968613313219115
108277.0;Sequoia;Sequoia;sempervirens;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;Arbre;Jardin;PARIS 16E ARRDT;Canton 10;;001005001;186.0;16.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86245184358236,2.2895909974805195
123071.0;Metaséquoia;Metasequoia;glyptostroboides;SQUARE DE LA VILLA SAINTE CROIX / 10 VILLA SAINTE CROIX;Arbre;Jardin;PARIS 17E ARRDT;;;000101005;251.0;19.0;Mature;Inconnue;;1995-04-01T04:00:00+02:00;OUI;48.893937811792384,2.324438667904684
147672.0;Marronnier;Aesculus;hippocastanum;CIMETIERE DU PERE LACHAISE / DIV 76;Arbre;CIMETIERE;PARIS 20E ARRDT;20-15;;D00000076032;347.0;22.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.85974252453222,2.3999831363677955
123330.0;Erable;Acer;monspessulanum;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00040005;209.0;17.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84624268954269,2.2513754059362436
104839.0;Chêne;Quercus;cerris;SQUARE RENE LE GALL / 1 RUE EMILE DESLANDRES;Arbre;Jardin;PARIS 13E ARRDT;Roseraie;;000301002;140.0;15.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.83302104314707,2.349917609098429
113547.0;Platane;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Plateau Baigneuses;;0420A1001;610.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.82271470391605,2.338688414234378
136460.0;Bouleau;Betula;nigra;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00030015;222.0;20.0;Mature;Inconnue;;1982-01-01T02:00:00+01:00;OUI;48.8477822447431,2.253722888576807
114779.0;Noisetier de Byzance;Corylus;colurna;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 15 - 27 à 29;;000105001;204.0;14.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.87279632801011,2.2875406258605007
2002365.0;Platane;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-07;;12-07;410.0;35.0;Mature;Inconnue;;1860-01-01T01:02:49+00:53;OUI;48.83229684732574,2.4106783228978297
2002397.0;Cyprès Chauve;Taxodium;distichum;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-03;;000101003;354.0;32.0;Mature;Inconnue;;1862-01-01T01:02:49+00:53;OUI;48.860605073853336,2.259777049393632
127998.0;Frêne;Fraxinus;excelsior;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;Arbre;Jardin;PARIS 19E ARRDT;19-01;;00000509;405.0;21.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.88193645117035,2.3982637653262042
201570.0;Hêtre;Fagus;sylvatica;STADE DE LA PORTE DE LA MUETTE / 60 BOULEVARD LANNES;Arbre;DJS;PARIS 16E ARRDT;16-38;;470306001;320.0;15.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8642003629202,2.267960372482601
112222.0;Micocoulier;Celtis;australis;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15-05;;000303005;225.0;18.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84264131666319,2.296091108115875
136321.0;Tulipier;Liriodendron;tulipifera;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00040037;211.0;22.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84650062055827,2.2522671738210724
2002371.0;Platane;Platanus;x hispanica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;Arbre;Jardin;BOIS DE VINCENNES;12-01;;12-01;615.0;30.0;Mature;Inconnue;;1918-01-01T01:00:00+01:00;OUI;48.839525138606746,2.4333410918799836
114685.0;Mûrier;Morus;nigra;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 14 - 11 à 27;;000103010;169.0;8.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.872900063962696,2.290565432001343
2002393.0;Hêtre;Fagus;sylvatica;PETITE ILE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-11;;000801001;200.0;10.0;Mature;Inconnue;''Pendula'';1857-01-01T01:02:49+00:53;OUI;48.86136852886504,2.258987943549128
128154.0;Marronnier;Aesculus;hippocastanum;PELOUSE PLACE DU GENERAL CATROUX SUD  / 1  PLACE DU GENERAL CATROUX;Arbre;Jardin;PARIS 17E ARRDT;;;000201001;385.0;26.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.88233169602055,2.3102453912947096
121940.0;Noisetier de Byzance;Corylus;colurna;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;Arbre;Jardin;PARIS 20E ARRDT;20-06;;000201005;160.0;16.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.865833619587065,2.4000829253880562
126662.0;Platane;Platanus;x hispanica;SQUARE THOMAS JEFFERSSON;Arbre;Jardin;PARIS 16E ARRDT;;;00000012;153.0;13.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86826212163828,2.29353225481076
267663.0;Orme;Ulmus;minor;PLACE SAINT GERVAIS;Arbre;Alignement;PARIS 4E ARRDT;04-01;;000301001;190.0;16.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.855759640500494,2.353991515207057
298210.0;Platane;Platanus;x hispanica;QUAI SAINT BERNARD;Arbre;Alignement;PARIS 5E ARRDT;Jussieux;;000301059;375.0;25.0;Mature;Inconnue;;1900-01-01T01:09:21+01:00;OUI;48.84929027337202,2.356211229465664
2002344.0;Orme de Sibérie;Zelkova;carpinifolia;MOULIN DE LONGCHAMP - ROUTE DES TRIBUNES;Arbre;Jardin;BOIS DE BOULOGNE;16-06;;000601001;321.0;16.0;Mature;Inconnue;;1896-01-01T01:09:21+01:00;OUI;48.86254970486189,2.237898405712851
102053.0;Arbre aux quarante écus;Ginkgo;biloba;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;;;G0310005;270.0;24.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.88232205041283,2.384088215823706
120016.0;Cedrele;Toona;sinensis;SQUARE KRIEGEL - VALRIMONT;Arbre;Jardin;PARIS 18E ARRDT;18-08;;00000009;234.0;16.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.893355458972614,2.3468204837161757
2002349.0;Pin;Pinus;nigra subsp. laricio;RESERVOIR DE LA GRANDE CASCADE - CARREFOUR DE LONGCHAMP;Arbre;Jardin;BOIS DE BOULOGNE;16-08;;000901001;241.0;30.0;Mature;Inconnue;;1882-01-01T01:02:49+00:53;OUI;48.86300960060955,2.2417737511963374
135262.0;Pterocarya;Pterocarya;fraxinifolia;SQUARE DES BATIGNOLLES;Arbre;Jardin;PARIS 17E ARRDT;17-07;;00000072;397.0;30.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8872385241918,2.317163104433761
124358.0;Robinier;Robinia;pseudoacacia;SQUARE RENE VIVIANI MONTEBELLO / 2 RUE DU FOUARRE;Arbre;Jardin;PARIS 5E ARRDT;;;000401001;365.0;9.0;Mature;Inconnue;;1602-01-01T01:02:49+00:53;OUI;48.85219143628661,2.347286187022984
136305.0;Magnolia;Magnolia;grandiflora;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00040021;190.0;9.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84727363846457,2.2519896875647403
2002389.0;Platane;Platanus;x hispanica;ROUTE DU LAC A BAGATELLE;Arbre;Jardin;BOIS DE BOULOGNE;16-10;;001201001;534.0;45.0;Mature;Inconnue;;1872-01-01T01:02:49+00:53;OUI;48.86711844244798,2.2529421132910628
121923.0;Marronnier;Aesculus;hippocastanum;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;Arbre;Jardin;PARIS 20E ARRDT;20-04;;000102006;380.0;26.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.865035507523565,2.4009317593529538
2002364.0;Platane;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-11;;12-11;425.0;40.0;Mature;Inconnue;;1860-01-01T01:02:49+00:53;OUI;48.83233923018604,2.4114464063288743
112542.0;Pterocarya;Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Talus du Funiculaire;;000202004;415.0;26.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.88530198867287,2.3427208936094805
113353.0;Sequoia;Sequoia;sempervirens;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Volcan / Puits;;0311D1001;360.0;20.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.82202510003852,2.3362770386073026
124914.0;Noisetier de Byzance;Corylus;colurna;SQUARE MAURICE GARDETTE / 8 RUE GENERAL BLAISE;Arbre;Jardin;PARIS 11E ARRDT;11-01;;000201002;265.0;20.0;Mature;Inconnue;;1882-01-01T01:02:49+00:53;OUI;48.86185385251956,2.3790877683271927
132479.0;Orme de Sibérie;Zelkova;carpinifolia;SQUARE SAMUEL PATY / 3 PLACE PAUL PAINLEVE;Arbre;Jardin;PARIS 5E ARRDT;05-04;;000101002;250.0;20.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84994647322497,2.344223857307884
134435.0;Marronnier;Aesculus;hippocastanum;JARDIN ANNE FRANCK / 14 IMPASSE BERTHAUD;Arbre;Jardin;PARIS 3E ARRDT;;;000101001;76.0;8.0;Jeune (arbre);Inconnue;;2006-01-01T02:00:00+01:00;OUI;48.86147409676228,2.3543747057282394
108281.0;Platane;Platanus;x hispanica;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;Arbre;Jardin;PARIS 16E ARRDT;Canton 10;;001004011;490.0;28.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.862618311324105,2.2898042468934845
118790.0;Lilas de Perse;Melia;azedarach;SQUARE BOUCICAUT;Arbre;Jardin;PARIS 7E ARRDT;;;00000031;130.0;10.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.85135747117564,2.3251319080328097
114867.0;Chêne;Quercus;ilex;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 10 - 20 à 26;;000206003;207.0;10.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.87368091631074,2.2902524378955813
120299.0;Platane;Platanus;x hispanica;PARC MARCEL BLEUSTEIN BLANCHET / 1 RUE DE LA BONNE;Arbre;Jardin;PARIS 18E ARRDT;Amphithéâtre;;000201003;358.0;27.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.88774751669287,2.343508518368119
135415.0;Plaqueminier;Diospyros;lotus;SQUARE DES BATIGNOLLES;Arbre;Jardin;PARIS 17E ARRDT;17-12;;00000224;157.0;12.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.887317829863456,2.3170626750607597
158609.0;Chicot du Canada;Gymnocladus;dioica;CIMETIERE DU PERE LACHAISE / DIV 77;Arbre;CIMETIERE;PARIS 20E ARRDT;20-17;;D00000077024;155.0;11.0;Adulte;Inconnue;''Variegata'';1700-01-01T01:02:49+00:53;OUI;48.86151633861924,2.399065981839158
102837.0;Sequoia;Sequoiadendron;giganteum;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;19-04;;K0660013;510.0;27.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8797546766506,2.3806631542845906
2002390.0;Magnolia;Magnolia;grandiflora;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-05;;000101001;200.0;14.0;Mature;Inconnue;;1863-01-01T01:02:49+00:53;OUI;48.85867307490155,2.258339355483799
107696.0;Arbre à Gutta-Percha;Eucommia;ulmoides;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;P00607004;195.0;15.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.857772499834546,2.297245756057036
2002368.0;Arbre aux quarante écus;Ginkgo;biloba;ECOLE DE CHIENS GUIDE D AVEUGLES - AVENUE DE SAINT-MAURICE;Arbre;Jardin;BOIS DE VINCENNES;12-03;;12-03;270.0;25.0;Mature;Inconnue;;1875-01-01T01:02:49+00:53;OUI;48.83368577644325,2.421111928263561
111331.0;Platane;Platanus;x hispanica;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 20 - 75 à 77;;000307024;443.0;27.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.871536344973016,2.2781692442789616
120518.0;Pterocarya;Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Le grand Talus;;000504012;368.0;26.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.88609867805314,2.3446801358970344
2002361.0;Tulipier;Liriodendron;tulipifera;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-09;;12-09;220.0;21.0;Adulte;Inconnue;;1930-01-01T01:00:00+01:00;OUI;48.831989400544316,2.4119924343494303
2002366.0;Platane;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;Arbre;Jardin;BOIS DE VINCENNES;12-14;;12-14;495.0;26.0;Mature;Inconnue;;1860-01-01T01:02:49+00:53;OUI;48.83381875508255,2.41121935814688
2002360.0;Plaqueminier;Diospyros;virginiana;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-12;;12-12;175.0;15.0;Adulte;Inconnue;;1935-01-01T01:00:00+01:00;OUI;48.83138289643231,2.4114313612964837
140495.0;Erable;Acer;monspessulanum;CIMETIERE DU PERE LACHAISE / DIV 77;Arbre;CIMETIERE;PARIS 20E ARRDT;20-07;;D00000077020;265.0;11.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86193298996097,2.3987104321755064
155948.0;Arbre à Gutta-Percha;Eucommia;ulmoides;CIMETIERE DU PERE LACHAISE / DIV 75;Arbre;CIMETIERE;PARIS 20E ARRDT;20-11;;D00000075015;130.0;14.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.857803908765824,2.395740784517371
2002398.0;Platane;Platanus;orientalis;ILE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-04;;000401001;380.0;26.0;Mature;Inconnue;;1859-01-01T01:02:49+00:53;OUI;48.86612721169781,2.262547930839383
2002375.0;Chêne;Quercus;robur;FORT NEUF - AVENUE DE LA PEPINIERE / ROUTE DU GRAND MARECHAL;Arbre;Jardin;BOIS DE VINCENNES;12-26;;12-26;465.0;30.0;Mature;Inconnue;;1815-01-01T01:02:49+00:53;OUI;48.84330787065609,2.449742608623643
307478.0;Libocèdre;Calocedrus;decurrens;JARDINS DES CHAMPS ELYSEES - SQUARE MARIGNY / 41 AVENUE GABRIEL;Arbre;Jardin;PARIS 8E ARRDT;Secteur Marigny;;000103002;209.0;22.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86857287778515,2.3133255897994673
2002370.0;Tulipier;Liriodendron;tulipifera;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;Arbre;Jardin;BOIS DE VINCENNES;12-02;;12-02;310.0;30.0;Mature;Inconnue;;1862-01-01T01:02:49+00:53;OUI;48.83940516054917,2.4333744824506813
113328.0;Hêtre;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Grande pelouse;;031302006;400.0;20.0;Mature;Inconnue;''Riversii'';1700-01-01T01:02:49+00:53;OUI;48.822604055366384,2.336701218855208
108183.0;Hêtre;Fagus;sylvatica;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / SETE;Arbre;Jardin;PARIS 7E ARRDT;Canton 03 / SETE;;P00306006;205.0;6.0;Adulte;Inconnue;''Pendula'';1700-01-01T01:02:49+00:53;OUI;48.8587536797132,2.2954992543419888
109016.0;Magnolia;Magnolia;grandiflora;SQUARE D AJACCIO / 127 RUE DE GRENELLE;Arbre;Jardin;PARIS 7E ARRDT;07-10;;000202001;155.0;13.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8574173084566,2.3147251173459
136446.0;Sterculier;Firmiana;simplex;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00030001;132.0;12.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84761141565212,2.253143007559326
2017817.0;Chêne;Quercus;cerris;PLACE DE LA REPUBLIQUE;Arbre;Alignement;PARIS 10E ARRDT;;;000401009;53.0;7.0;Jeune (arbre);GUILLOT BOURNE;;2017-11-09T02:00:00+01:00;OUI;48.86829544193773,2.3631894360724153
120588.0;Platane;Platanus;orientalis;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Place Saint-Pierre;;000103015;520.0;28.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.884608435275254,2.3439162548465267
110934.0;Chêne;Quercus;ilex;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Volcan / Puits;;0311B1011;255.0;15.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.821838891713476,2.335786151664373
2002358.0;Erable;Acer;opalus;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-05;;12-05;220.0;14.0;Mature;Inconnue;;1870-01-01T01:02:49+00:53;OUI;48.83037459866333,2.4134928171671937
112946.0;Arbre aux quarante écus;Ginkgo;biloba;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;;0417A2001;430.0;20.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.82312885756008,2.338709258241683
100818.0;Platane;Platanus;x hispanica;PARC DE BERCY / 128 QUAI DE BERCY;Arbre;Jardin;PARIS 12E ARRDT;;;E00305016;502.0;35.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.834162452645906,2.3825595989583803
128373.0;Hêtre;Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;Arbre;Jardin;PARIS 15E ARRDT;;;00000002;130.0;5.0;Adulte;Inconnue;''Pendula'';1973-01-01T02:00:00+01:00;OUI;48.83634112210464,2.2902094857360003
120761.0;Sophora;Sophora;japonica;SQUARE NADAR / 2 RUE SAINT ELEUTHERE;Arbre;Jardin;PARIS 18E ARRDT;18-07;;000102003;310.0;17.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.88595142916128,2.3416796927451764
116886.0;Noisetier de Byzance;Corylus;colurna;SQUARE DU TEMPLE / 50 RUE DE BRETAGNE;Arbre;Jardin;PARIS 3E ARRDT;03-05;;000102007;230.0;16.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.864837490079104,2.360625535980335
